kanji,back,tags
後,<b>Meanings:</b> behind; back; later<br><br><b>On'yomi:</b> ゴ; コウ<br><br><b>Kun'yomi:</b> のち; うし.ろ; うしろ; あと; おく.れる<br><br><b>Name readings:</b> こし; し; しい; しり<br><br><b>Stats:</b> Strokes: 9 | Radical: 60 | Freq: #26<br><br><b>Heisig:</b> RTK: #1379 | RTK6: #1479,grade2
語,<b>Meanings:</b> word; speech; language<br><br><b>On'yomi:</b> ゴ<br><br><b>Kun'yomi:</b> かた.る; かた.らう<br><br><b>Stats:</b> Strokes: 14 | Radical: 149 | Freq: #301<br><br><b>Heisig:</b> RTK: #347 | RTK6: #371,grade2
口,<b>Meanings:</b> mouth<br><br><b>On'yomi:</b> コウ; ク<br><br><b>Kun'yomi:</b> くち<br><br><b>Stats:</b> Strokes: 3 | Radical: 30 | Freq: #284<br><br><b>Heisig:</b> RTK: #11 | RTK6: #11,grade1
校,<b>Meanings:</b> exam; school; printing; proof; correction<br><br><b>On'yomi:</b> コウ; キョウ<br><br><b>Name readings:</b> めん<br><br><b>Stats:</b> Strokes: 10 | Radical: 75 | Freq: #294<br><br><b>Heisig:</b> RTK: #1278 | RTK6: #1371,grade1
行,<b>Meanings:</b> going; journey; carry out; conduct; act; line; row; bank<br><br><b>On'yomi:</b> コウ; ギョウ; アン<br><br><b>Kun'yomi:</b> い.く; ゆ.く; -ゆ.き; -ゆき; -い.き; -いき; おこな.う; おこ.なう<br><br><b>Name readings:</b> いく; なみ; なめ; みち; ゆき; ゆく<br><br><b>Stats:</b> Strokes: 6 | Radical: 144 | Freq: #20<br><br><b>Heisig:</b> RTK: #873 | RTK6: #938,grade2
高,<b>Meanings:</b> tall; high; expensive<br><br><b>On'yomi:</b> コウ<br><br><b>Kun'yomi:</b> たか.い; たか; -だか; たか.まる; たか.める<br><br><b>Name readings:</b> か; こ; じょい; た; はか<br><br><b>Stats:</b> Strokes: 10 | Radical: 189 | Freq: #65<br><br><b>Heisig:</b> RTK: #307 | RTK6: #329,grade2
国,<b>Meanings:</b> country<br><br><b>On'yomi:</b> コク<br><br><b>Kun'yomi:</b> くに<br><br><b>Name readings:</b> くな; こ<br><br><b>Stats:</b> Strokes: 8 | Radical: 31 | Freq: #3<br><br><b>Heisig:</b> RTK: #581 | RTK6: #624,grade2
今,<b>Meanings:</b> now<br><br><b>On'yomi:</b> コン; キン<br><br><b>Kun'yomi:</b> いま<br><br><b>Name readings:</b> な<br><br><b>Stats:</b> Strokes: 4 | Radical: 9 | Freq: #49<br><br><b>Heisig:</b> RTK: #1587 | RTK6: #1711,grade2
左,<b>Meanings:</b> left<br><br><b>On'yomi:</b> サ; シャ<br><br><b>Kun'yomi:</b> ひだり<br><br><b>Name readings:</b> そ<br><br><b>Stats:</b> Strokes: 5 | Radical: 48 | Freq: #630<br><br><b>Heisig:</b> RTK: #77 | RTK6: #81,grade1
三,<b>Meanings:</b> three<br><br><b>On'yomi:</b> サン; ゾウ<br><br><b>Kun'yomi:</b> み; み.つ; みっ.つ<br><br><b>Name readings:</b> か; さ; さい; さえ; さぶ; ざ; ざえ; ざぶ; そう; ぞ; ただ; みつ; みん; も; や<br><br><b>Stats:</b> Strokes: 3 | Radical: 1 | Freq: #14<br><br><b>Heisig:</b> RTK: #3 | RTK6: #3,grade1
山,<b>Meanings:</b> mountain<br><br><b>On'yomi:</b> サン; セン<br><br><b>Kun'yomi:</b> やま<br><br><b>Name readings:</b> さ; やの; やん<br><br><b>Stats:</b> Strokes: 3 | Radical: 46 | Freq: #131<br><br><b>Heisig:</b> RTK: #768 | RTK6: #830,grade1
四,<b>Meanings:</b> four<br><br><b>On'yomi:</b> シ<br><br><b>Kun'yomi:</b> よ; よ.つ; よっ.つ; よん<br><br><b>Name readings:</b> あ; つ; よつ<br><br><b>Stats:</b> Strokes: 5 | Radical: 31 | Freq: #47<br><br><b>Heisig:</b> RTK: #4 | RTK6: #4,grade1
子,<b>Meanings:</b> child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac<br><br><b>On'yomi:</b> シ; ス; ツ<br><br><b>Kun'yomi:</b> こ; -こ; ね<br><br><b>Name readings:</b> い; き; ぎ; く; け; ねっ<br><br><b>Stats:</b> Strokes: 3 | Radical: 39 | Freq: #72<br><br><b>Heisig:</b> RTK: #95 | RTK6: #99,grade1
時,<b>Meanings:</b> time; hour<br><br><b>On'yomi:</b> ジ<br><br><b>Kun'yomi:</b> とき; -どき<br><br><b>Name readings:</b> と; とぎ<br><br><b>Stats:</b> Strokes: 10 | Radical: 72 | Freq: #16<br><br><b>Heisig:</b> RTK: #159 | RTK6: #171,grade2
耳,<b>Meanings:</b> ear<br><br><b>On'yomi:</b> ジ<br><br><b>Kun'yomi:</b> みみ<br><br><b>Name readings:</b> がみ<br><br><b>Stats:</b> Strokes: 6 | Radical: 128 | Freq: #1328<br><br><b>Heisig:</b> RTK: #818 | RTK6: #881,grade1
七,<b>Meanings:</b> seven<br><br><b>On'yomi:</b> シチ<br><br><b>Kun'yomi:</b> なな; なな.つ; なの<br><br><b>Name readings:</b> し; しっ; な; ひち<br><br><b>Stats:</b> Strokes: 2 | Radical: 1 | Freq: #115<br><br><b>Heisig:</b> RTK: #7 | RTK6: #7,grade1
社,<b>Meanings:</b> company; firm; office; association; shrine<br><br><b>On'yomi:</b> シャ<br><br><b>Kun'yomi:</b> やしろ<br><br><b>Name readings:</b> こそ<br><br><b>Stats:</b> Strokes: 7 | Radical: 113 | Freq: #21<br><br><b>Heisig:</b> RTK: #1092 | RTK6: #1173,grade2
車,<b>Meanings:</b> car<br><br><b>On'yomi:</b> シャ<br><br><b>Kun'yomi:</b> くるま<br><br><b>Name readings:</b> くら; くろま<br><br><b>Stats:</b> Strokes: 7 | Radical: 159 | Freq: #333<br><br><b>Heisig:</b> RTK: #286 | RTK6: #304,grade1
手,<b>Meanings:</b> hand<br><br><b>On'yomi:</b> シュ; ズ<br><br><b>Kun'yomi:</b> て; て-; -て; た-<br><br><b>Stats:</b> Strokes: 4 | Radical: 64 | Freq: #60<br><br><b>Heisig:</b> RTK: #637 | RTK6: #687,grade1
週,<b>Meanings:</b> week<br><br><b>On'yomi:</b> シュウ<br><br><b>Stats:</b> Strokes: 11 | Radical: 162 | Freq: #540<br><br><b>Heisig:</b> RTK: #318 | RTK6: #340,grade2
十,<b>Meanings:</b> ten<br><br><b>On'yomi:</b> ジュウ; ジッ; ジュッ<br><br><b>Kun'yomi:</b> とお; と; そ<br><br><b>Name readings:</b> い; か; ぎ; さ; し; そう; ち; とう; ね; ま; る; わ<br><br><b>Stats:</b> Strokes: 2 | Radical: 24 | Freq: #8<br><br><b>Heisig:</b> RTK: #10 | RTK6: #10,grade1
出,<b>Meanings:</b> exit; leave; go out; come out; put out; protrude<br><br><b>On'yomi:</b> シュツ; スイ<br><br><b>Kun'yomi:</b> で.る; -で; だ.す; -だ.す; い.でる; い.だす<br><br><b>Name readings:</b> いず; いづ; いで; じ; すっ; すつ; てん<br><br><b>Stats:</b> Strokes: 5 | Radical: 17 | Freq: #13<br><br><b>Heisig:</b> RTK: #767 | RTK6: #829,grade1
書,<b>Meanings:</b> write<br><br><b>On'yomi:</b> ショ<br><br><b>Kun'yomi:</b> か.く; -が.き; -がき<br><br><b>Name readings:</b> かき<br><br><b>Stats:</b> Strokes: 10 | Radical: 73 | Freq: #169<br><br><b>Heisig:</b> RTK: #327 | RTK6: #349,grade2
女,<b>Meanings:</b> woman; female<br><br><b>On'yomi:</b> ジョ; ニョ; ニョウ<br><br><b>Kun'yomi:</b> おんな; め<br><br><b>Name readings:</b> おな; た; つき; な<br><br><b>Stats:</b> Strokes: 3 | Radical: 38 | Freq: #151<br><br><b>Heisig:</b> RTK: #98 | RTK6: #102,grade1
小,<b>Meanings:</b> little; small<br><br><b>On'yomi:</b> ショウ<br><br><b>Kun'yomi:</b> ちい.さい; こ-; お-; さ-<br><br><b>Name readings:</b> いさら; こう; さざ; しゃお; ちいさ<br><br><b>Stats:</b> Strokes: 3 | Radical: 42 | Freq: #114<br><br><b>Heisig:</b> RTK: #105 | RTK6: #110,grade1
少,<b>Meanings:</b> few; little<br><br><b>On'yomi:</b> ショウ<br><br><b>Kun'yomi:</b> すく.ない; すこ.し<br><br><b>Stats:</b> Strokes: 4 | Radical: 42 | Freq: #287<br><br><b>Heisig:</b> RTK: #106 | RTK6: #111,grade2
上,<b>Meanings:</b> above; up<br><br><b>On'yomi:</b> ジョウ; ショウ; シャン<br><br><b>Kun'yomi:</b> うえ; -うえ; うわ-; かみ; あ.げる; -あ.げる; あ.がる; -あ.がる; あ.がり; -あ.がり; のぼ.る; のぼ.り; のぼ.せる; のぼ.す; たてまつ.る<br><br><b>Name readings:</b> あおい; あげ; い; か; かき; かず; かん; こう; のぼり; ほつ<br><br><b>Stats:</b> Strokes: 3 | Radical: 1 | Freq: #35<br><br><b>Heisig:</b> RTK: #49 | RTK6: #50,grade1
食,<b>Meanings:</b> eat; food<br><br><b>On'yomi:</b> ショク; ジキ<br><br><b>Kun'yomi:</b> く.う; く.らう; た.べる; は.む<br><br><b>Name readings:</b> ぐい<br><br><b>Stats:</b> Strokes: 9 | Radical: 184 | Freq: #328<br><br><b>Heisig:</b> RTK: #1472 | RTK6: #1582,grade2
新,<b>Meanings:</b> new<br><br><b>On'yomi:</b> シン<br><br><b>Kun'yomi:</b> あたら.しい; あら.た; あら-; にい-<br><br><b>Name readings:</b> あせ; あたらし; し; に; にっ; につ; よし<br><br><b>Stats:</b> Strokes: 13 | Radical: 69 | Freq: #51<br><br><b>Heisig:</b> RTK: #1502 | RTK6: #1619,grade2
人,<b>Meanings:</b> person<br><br><b>On'yomi:</b> ジン; ニン<br><br><b>Kun'yomi:</b> ひと; -り; -と<br><br><b>Name readings:</b> じ; と; ね; ひこ; ふみ<br><br><b>Stats:</b> Strokes: 2 | Radical: 9 | Freq: #5<br><br><b>Heisig:</b> RTK: #951 | RTK6: #1023,grade1
水,<b>Meanings:</b> water<br><br><b>On'yomi:</b> スイ<br><br><b>Kun'yomi:</b> みず; みず-<br><br><b>Name readings:</b> うず; ずみ; つ; ど; み; みさ; みつ; みな; みん<br><br><b>Stats:</b> Strokes: 4 | Radical: 85 | Freq: #223<br><br><b>Heisig:</b> RTK: #130 | RTK6: #137,grade1
生,<b>Meanings:</b> life; genuine; birth<br><br><b>On'yomi:</b> セイ; ショウ<br><br><b>Kun'yomi:</b> い.きる; い.かす; い.ける; う.まれる; うま.れる; う.まれ; うまれ; う.む; お.う; は.える; は.やす; き; なま; なま-; な.る; な.す; む.す; -う<br><br><b>Name readings:</b> あさ; いき; いく; いけ; うぶ; うまい; え; おい; ぎゅう; くるみ; ごせ; さ; じょう; すぎ; そ; そう; ちる; なば; にう; にゅう; ふ; み; もう; よい; りゅう<br><br><b>Stats:</b> Strokes: 5 | Radical: 100 | Freq: #29<br><br><b>Heisig:</b> RTK: #1555 | RTK6: #1675,grade1
西,<b>Meanings:</b> west; Spain<br><br><b>On'yomi:</b> セイ; サイ; ス<br><br><b>Kun'yomi:</b> にし<br><br><b>Name readings:</b> いり; ひし; むら<br><br><b>Stats:</b> Strokes: 6 | Radical: 146 | Freq: #259<br><br><b>Heisig:</b> RTK: #1602 | RTK6: #1728,grade2
先,<b>Meanings:</b> before; ahead; previous; future; precedence<br><br><b>On'yomi:</b> セン<br><br><b>Kun'yomi:</b> さき; ま.ず<br><br><b>Name readings:</b> ぽん<br><br><b>Stats:</b> Strokes: 6 | Radical: 10 | Freq: #173<br><br><b>Heisig:</b> RTK: #248 | RTK6: #263,grade1
