kanji,back,tags
野,<b>Meanings:</b> plains; field; rustic; civilian life<br><br><b>On'yomi:</b> ヤ; ショ<br><br><b>Kun'yomi:</b> の; の-<br><br><b>Name readings:</b> ずけ; つけ; ぬ<br><br><b>Stats:</b> Strokes: 11 | Radical: 166 | Freq: #120<br><br><b>Heisig:</b> RTK: #1596 | RTK6: #1722,grade2
薬,<b>Meanings:</b> medicine; chemical; enamel; gunpowder; benefit<br><br><b>On'yomi:</b> ヤク<br><br><b>Kun'yomi:</b> くすり<br><br><b>Name readings:</b> み<br><br><b>Stats:</b> Strokes: 16 | Radical: 140 | Freq: #702<br><br><b>Heisig:</b> RTK: #1736 | RTK6: #1873,grade3
有,<b>Meanings:</b> possess; have; exist; happen; occur; approx<br><br><b>On'yomi:</b> ユウ; ウ<br><br><b>Kun'yomi:</b> あ.る<br><br><b>Name readings:</b> あ; あら; あり; ある; くに; なお; ゆ<br><br><b>Stats:</b> Strokes: 6 | Radical: 74 | Freq: #282<br><br><b>Heisig:</b> RTK: #79 | RTK6: #83,grade3
夕,<b>Meanings:</b> evening<br><br><b>On'yomi:</b> セキ<br><br><b>Kun'yomi:</b> ゆう<br><br><b>Name readings:</b> ゆ<br><br><b>Stats:</b> Strokes: 3 | Radical: 36 | Freq: #924<br><br><b>Heisig:</b> RTK: #109 | RTK6: #114,grade1
曜,<b>Meanings:</b> weekday<br><br><b>On'yomi:</b> ヨウ<br><br><b>Name readings:</b> てる<br><br><b>Stats:</b> Strokes: 18 | Radical: 72 | Freq: #940<br><br><b>Heisig:</b> RTK: #576 | RTK6: #618,grade2
洋,<b>Meanings:</b> ocean; sea; foreign; Western style<br><br><b>On'yomi:</b> ヨウ<br><br><b>Name readings:</b> なだ; ひろ; ひろし; よ; よし<br><br><b>Stats:</b> Strokes: 9 | Radical: 85 | Freq: #763<br><br><b>Heisig:</b> RTK: #549 | RTK6: #588,grade3
用,<b>Meanings:</b> utilize; business; service; use; employ<br><br><b>On'yomi:</b> ヨウ<br><br><b>Kun'yomi:</b> もち.いる<br><br><b>Name readings:</b> たから<br><br><b>Stats:</b> Strokes: 5 | Radical: 101 | Freq: #107<br><br><b>Heisig:</b> RTK: #1181 | RTK6: #1265,grade2
理,<b>Meanings:</b> logic; arrangement; reason; justice; truth<br><br><b>On'yomi:</b> リ<br><br><b>Kun'yomi:</b> ことわり<br><br><b>Name readings:</b> あや; おさむ; さと; さとる; ただ; ただし; とおる; に; のり; ひ; まこと; まさ; まさし; まろ; みち; よし<br><br><b>Stats:</b> Strokes: 11 | Radical: 96 | Freq: #86<br><br><b>Heisig:</b> RTK: #265 | RTK6: #283,grade2
旅,<b>Meanings:</b> trip; travel<br><br><b>On'yomi:</b> リョ<br><br><b>Kun'yomi:</b> たび<br><br><b>Stats:</b> Strokes: 10 | Radical: 70 | Freq: #783<br><br><b>Heisig:</b> RTK: #1048 | RTK6: #1127,grade3
料,<b>Meanings:</b> fee; materials<br><br><b>On'yomi:</b> リョウ<br><br><b>Stats:</b> Strokes: 10 | Radical: 68 | Freq: #295<br><br><b>Heisig:</b> RTK: #1178 | RTK6: #1262,grade4
力,<b>Meanings:</b> power; strength; strong; strain; bear up; exert<br><br><b>On'yomi:</b> リョク; リキ; リイ<br><br><b>Kun'yomi:</b> ちから<br><br><b>Name readings:</b> じから; つとむ<br><br><b>Stats:</b> Strokes: 2 | Radical: 19 | Freq: #62<br><br><b>Heisig:</b> RTK: #858 | RTK6: #922,grade1
林,<b>Meanings:</b> grove; forest<br><br><b>On'yomi:</b> リン<br><br><b>Kun'yomi:</b> はやし<br><br><b>Name readings:</b> し<br><br><b>Stats:</b> Strokes: 8 | Radical: 75 | Freq: #656<br><br><b>Heisig:</b> RTK: #196 | RTK6: #208,grade1
