kanji,back,tags
胤,<b>Meanings:</b> descendent; issue; offspring<br><br><b>On'yomi:</b> イン<br><br><b>Kun'yomi:</b> たね<br><br><b>Name readings:</b> つぎ; つぐ; かず<br><br><b>Stats:</b> Strokes: 9 | Radical: 130<br><br><b>Heisig:</b> RTK: #2921 | RTK6: #2929,grade9
陰,<b>Meanings:</b> shade; yin; negative; sex organs; secret; shadow<br><br><b>On'yomi:</b> イン<br><br><b>Kun'yomi:</b> かげ; かげ.る<br><br><b>Stats:</b> Strokes: 11 | Radical: 170 | Freq: #1393<br><br><b>Heisig:</b> RTK: #1592 | RTK6: #1718,grade8
隠,<b>Meanings:</b> conceal; hide; cover<br><br><b>On'yomi:</b> イン; オン<br><br><b>Kun'yomi:</b> かく.す; かく.し; かく.れる; よ.る<br><br><b>Name readings:</b> お; がくし<br><br><b>Stats:</b> Strokes: 14 | Radical: 170 | Freq: #1089<br><br><b>Heisig:</b> RTK: #1313 | RTK6: #1410,grade8
韻,<b>Meanings:</b> rhyme; elegance; tone<br><br><b>On'yomi:</b> イン<br><br><b>Stats:</b> Strokes: 19 | Radical: 180 | Freq: #2148<br><br><b>Heisig:</b> RTK: #481 | RTK6: #520,grade8
卯,<b>Meanings:</b> sign of the hare or rabbit; fourth sign of Chinese zodiac; 5-7AM; east<br><br><b>On'yomi:</b> ボウ; モウ<br><br><b>Kun'yomi:</b> う<br><br><b>Name readings:</b> あきら; しげる; い<br><br><b>Stats:</b> Strokes: 5 | Radical: 26 | Freq: #2400<br><br><b>Heisig:</b> RTK: #2041 | RTK6: #2199,grade9
丑,<b>Meanings:</b> sign of the ox or cow; 1-3AM; second sign of Chinese zodiac<br><br><b>On'yomi:</b> チュウ<br><br><b>Kun'yomi:</b> うし<br><br><b>Name readings:</b> ひろ<br><br><b>Stats:</b> Strokes: 4 | Radical: 1 | Freq: #2305<br><br><b>Heisig:</b> RTK: #2040 | RTK6: #2197,grade9
渦,<b>Meanings:</b> whirlpool; eddy; vortex<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> うず<br><br><b>Stats:</b> Strokes: 12 | Radical: 85 | Freq: #1789<br><br><b>Heisig:</b> RTK: #1292 | RTK6: #1387,grade8
唄,<b>Meanings:</b> song; ballad<br><br><b>On'yomi:</b> バイ<br><br><b>Kun'yomi:</b> うた; うた.う<br><br><b>Stats:</b> Strokes: 10 | Radical: 30 | Freq: #2051<br><br><b>Heisig:</b> RTK: #2178 | RTK6: #57,grade8
浦,<b>Meanings:</b> bay; creek; inlet; gulf; beach; seacoast<br><br><b>On'yomi:</b> ホ<br><br><b>Kun'yomi:</b> うら<br><br><b>Stats:</b> Strokes: 10 | Radical: 85 | Freq: #977<br><br><b>Heisig:</b> RTK: #1837 | RTK6: #1980,grade8
叡,<b>Meanings:</b> intelligence; imperial<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> あき.らか<br><br><b>Stats:</b> Strokes: 16 | Radical: 29<br><br><b>Heisig:</b> RTK: #2905 | RTK6: #2914,grade9
影,<b>Meanings:</b> shadow; silhouette; phantom<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> かげ<br><br><b>Stats:</b> Strokes: 15 | Radical: 59 | Freq: #464<br><br><b>Heisig:</b> RTK: #1712 | RTK6: #1848,grade8
瑛,<b>Meanings:</b> sparkle of jewelry; crystal<br><br><b>On'yomi:</b> エイ<br><br><b>Name readings:</b> よう; あき; あきら; てる; え<br><br><b>Stats:</b> Strokes: 12 | Radical: 96 | Freq: #2393<br><br><b>Heisig:</b> RTK: #2566 | RTK6: #2618,grade9
衛,<b>Meanings:</b> defense; protection<br><br><b>On'yomi:</b> エイ; エ<br><br><b>Name readings:</b> もり; い; まもる<br><br><b>Stats:</b> Strokes: 16 | Radical: 144 | Freq: #400<br><br><b>Heisig:</b> RTK: #1646 | RTK6: #1775,grade5
詠,<b>Meanings:</b> recitation; poem; song; composing<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> よ.む; うた.う<br><br><b>Name readings:</b> うた; え; ええ<br><br><b>Stats:</b> Strokes: 12 | Radical: 149 | Freq: #2000<br><br><b>Heisig:</b> RTK: #345 | RTK6: #369,grade8
